,title,price,metros2,location,rooms,region
1731,Apartamento T2 em Odivelas Codivel,1000.0,80.0,Odivelas,2, Lisboa
1732,T1 mobilado a estrear junto a Av. da Liberdade,1600.0,45.0,Santo Antonio,1, Lisboa
1733,Apartamento T4 Lousada,800.0,145.0,"Cristelos, Boim e Ordem, Lousada",4, Porto
1734,Duplex T1+2 no Centro de Vila Real,750.0,110.0,"Vila Real (Nossa Senhora da Conceicao, Sao Pedro e Sao Dinis)",3, Vila Real
1735,T3 Duplex Renovado em Cedofeita,1500.0,192.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",3, Porto
1736,T3 - Lavradio,780.0,76.75,"Barreiro e Lavradio, Barreiro",3, Setubal
1737,Apartamento T3 para arrendamento,2000.0,94.0,"Carcavelos e Parede, Cascais",3, Lisboa
1738,"Apartamento em Montijo, Uniao Das Freguesias De Montijo E Afonsoeiro",1080.0,105.0,"Montijo e Afonsoeiro, Montijo",2, Setubal
1739,"Apartamento T4 renovado, Foz-Porto",2200.0,127.0,"Aldoar, Foz do Douro e Nevogilde",4, Porto
1741,Apartamento T3 Aluguer,850.0,90.0,Paranhos,3, Porto
1742,Arrendamento de Apartamento em Quinta do Pinheiro (Covilha),530.0,74.0,"Covilha e Canhoso, Covilha",2, Castelo Branco
1743,"Apartamento em Mafra, Sao Miguel de Alcainca",1120.0,119.0,"Malveira e Sao Miguel de Alcainca, Mafra",3, Lisboa
1744,Apartamento para arrendar Perto da Bica,1200.0,50.0,Misericordia,1, Lisboa
1745,Apartamento T1 em Leca da Palmeira,800.0,50.0,"Canidelo, Vila Nova de Gaia",1, Porto
1746,Arrenda-se Apartamento T3 - Sines,1200.0,83.38,Sines,3, Setubal
1747,Apartamento T2 Arrendamento,1050.0,74.06,"Encosta do Sol, Amadora",2, Lisboa
1748,terraco espectacular,750.0,65.0,Vila Real de Santo Antonio,2, Faro
1749,Alvalade T4 remodelado Bairro de Sao Miguel,1850.0,135.0,Alvalade,4, Lisboa
1750,Apartamento T1 | Ramalde | Junto ao metro,1000.0,80.0,Ramalde,1, Porto
1751,Apartamento T2 para arrendamento,950.0,71.0,"Alto do Seixalinho, Santo Andre e Verderena, Barreiro",2, Setubal
1752,Apartamento T1 para arrendamento,2400.0,90.0,Estrela,1, Lisboa
1753,"T1 com Varanda NOVO Junto ao Metro Brito Capelo, Matosinhos",900.0,45.0,"Matosinhos e Leca da Palmeira, Matosinhos",1, Porto
1754,T2 de Luxo nas ANTAS - METRO e Estadio do DRAGAO - 2 Garagens e Arrumo,1350.0,119.0,Paranhos,2, Porto
1755,Apartamento T2 Largo do Farol Praia da Barra,900.0,95.0,"Gafanha da Nazare, Ilhavo",2, Aveiro
1757,T5 p/ARRENDAMENTO na 1o linha de mar na Povoa de Varzim,1500.0,140.0,"Povoa de Varzim, Beiriz e Argivai, Povoa de Varzim",5, Porto
1758,Apartamento T2 para arrendamento em condominio fechado no Sobral Mo...,890.0,83.0,"Sapataria, Sobral de Monte Agraco",2, Lisboa
1759,Excelente T1/Loft junto a praia da Granja para arrendar!,1200.0,55.0,"Arcozelo, Vila Nova de Gaia",1, Porto
1760,Apartamento T1 na Rua Horta de Fanares no26 3o Algueirao-Mem Martins,900.0,60.0,"Algueirao-Mem Martins, Sintra",1, Lisboa
1761,T2 Casal Sao Bras - Amadora,900.0,80.0,"Mina de Agua, Amadora",2, Lisboa
1762,T3 a 300 metros do metro de Odivelas remodelado.,1250.0,90.0,Odivelas,2, Lisboa
1763,Apartamento T1 Novo,600.0,60.0,"Nossa Senhora da Piedade, Ourem",1, Santarem
1764,3926-T2 equip/mobilado-lugar garagem -arrumo-2008-centro Matosinhos,1650.0,100.0,"Matosinhos e Leca da Palmeira, Matosinhos",2, Porto
1765,"Apartamento T1 renovado e equipado para arrendamento, Queluz de Baixo",850.0,71.0,"Barcarena, Oeiras",1, Lisboa
1766,T2 Apartamento Arrendo-Rental,800.0,103.0,"Leiria, Pousos, Barreira e Cortes",2, Leiria
